Home_Team,Away_Team,Time,Link,Season,Round,League,Day,Home_Goals,Away_Goals,Label,Weekend,Daytime,Key_Home,Key_Away,Key_Season_League,Number_Rounds,Number_Teams,Position_Home,Position_Away,Goals_For_Home,Goals_For_Away,Goals_Against_Home,Goals_Against_Away
Man. City,West Ham,13:30,/match/manchester-city-fc/west-ham-united/2021,2021,26,premier_league,2021-02-27,,,,1,1,Man. City-26-2021-premier_league,West Ham-26-2021-premier_league,2021-premier_league,26,10,1,4,50,39,15,29
West Bromwich Alb.,Brighton Hove Alb.,16:00,/match/west-bromwich/brighton-amp-hov/2021,2021,26,premier_league,2021-02-27,,,,1,1,West Bromwich Alb.-26-2021-premier_league,Brighton Hove Alb.-26-2021-premier_league,2021-premier_league,26,10,19,16,19,26,55,32
Leeds United,Aston Villa,18:30,/match/leeds-united-afc/aston-villa-fc/2021,2021,26,premier_league,2021-02-27,,,,1,2,Leeds United-26-2021-premier_league,Aston Villa-26-2021-premier_league,2021-premier_league,26,10,10,8,43,37,43,26
Newcastle,Wolves,21:00,/match/newcastle-united-fc/wolverhampton/2021,2021,26,premier_league,2021-02-27,,,,1,2,Newcastle-26-2021-premier_league,Wolves-26-2021-premier_league,2021-premier_league,26,10,17,12,26,26,43,32
Crystal Palace,Fulham,13:00,/match/crystal-palace-fc/fulham/2021,2021,26,premier_league,2021-02-28,,,,1,1,Crystal Palace-26-2021-premier_league,Fulham-26-2021-premier_league,2021-premier_league,26,10,13,18,29,21,43,32
Leicester,Arsenal,13:00,/match/leicester-city-fc/arsenal/2021,2021,26,premier_league,2021-02-28,,,,1,1,Leicester-26-2021-premier_league,Arsenal-26-2021-premier_league,2021-premier_league,26,10,3,11,44,31,27,26
Tottenham Hotspur,Burnley,15:00,/match/tottenham-hotspur-fc/burnley-fc/2021,2021,26,premier_league,2021-02-28,,,,1,1,Tottenham Hotspur-26-2021-premier_league,Burnley-26-2021-premier_league,2021-premier_league,26,10,9,15,37,18,27,30
Chelsea,Man. Utd,17:30,/match/chelsea-fc/manchester-united-fc/2021,2021,26,premier_league,2021-02-28,,,,1,1,Chelsea-26-2021-premier_league,Man. Utd-26-2021-premier_league,2021-premier_league,26,10,5,2,41,53,25,32
Sheffield United,Liverpool,20:15,/match/sheffield-united/liverpool/2021,2021,26,premier_league,2021-02-28,,,,1,2,Sheffield United-26-2021-premier_league,Liverpool-26-2021-premier_league,2021-premier_league,26,10,20,6,15,45,41,34
Everton,Southampton,21:00,/match/everton-fc/southampton-fc/2021,2021,26,premier_league,2021-03-01,,,,0,2,Everton-26-2021-premier_league,Southampton-26-2021-premier_league,2021-premier_league,26,10,7,14,37,31,33,43
